o0981203	c	|ŠE~a.NAM₂|--	|ŠE~a×NAM₂|
o0980629	s	KAB--	TUKU
o0981913	n	2(N14)--	2(N14)
o0981828	n	1(N01)--	1(N01)
o0981028	s	SAG--	SAG
o0981912	n	1(N14)--	1(N14)
o0981829	n	2(N01)--	2(N01)
o0981050	s	SANGA~a--	SANGA~a
o0981913	n	2(N14)--	2(N14)
o0981394	s	UB--	UB
o0981832	n	5(N01)--	5(N01)
o0980889	s	NAGA~a--	NAGA~a
o0981830	n	3(N01)--	3(N01)
o0980309	s	EN~a--	EN~a
o0981912	n	1(N14)--	1(N14)
o0980981	s	NUN~a--	NUN~a
o0982029	n	3(N34)--	3(N34)
o0981916	n	5(N14)--	5(N14)
o0980077	s	BA--	BA
o0981912	n	1(N14)--	1(N14)
o0981830	n	3(N01)--	3(N01)
o0980689	s	KIŠ--	KIŠ
o0980309	s	EN~a--	EN~a
o0980469	s	GEŠTU~b--	GEŠTU~b
o0981828	n	1(N01)--	1(N01)
o0981182	s	ŠA₃~a2--	ŠA₃~a2
o0981828	n	1(N01)--	1(N01)
o0981265	c	|ŠU₂×3(N57)|--	|ŠU₂×3(N57)|
o0981828	n	1(N01)--	1(N01)
o0981329	s	U₂~a--	U₂~a
o0981828	n	1(N01)--	1(N01)
o0980330	s	ERIN--	ERIN
o0981828	n	1(N01)--	1(N01)
o0981741	s	ZATU773~b--	ZATU773~b
o0980469	s	GEŠTU~b--	GEŠTU~b
o0981828	n	1(N01)--	1(N01)
o0981320	s	TUR--	TUR
o0981247	s	ŠU--	ŠU
o0981829	n	2(N01)--	2(N01)
o0981068	s	SI₄~a--	SI₄~a
o0981828	n	1(N01)--	1(N01)
o0981323	s	TUR₃~a--	TUR₃~a
o0981714	s	ZATU753--	ZATU753
o0981828	n	1(N01)--	1(N01)
o0981004	s	PAP~a--	PAP~a
o0981506	s	|MUŠEN.ŠE~a|--	UZ~a
o0981828	n	1(N01)--	1(N01)
o0981059	s	SI--	SI
o0982246	s	X--	X
o0981828	n	1(N01)--	1(N01)
o0981320	s	TUR--	TUR
o0981247	s	ŠU--	ŠU
o0981828	n	1(N01)--	1(N01)
o0981323	s	TUR₃~a--	TUR₃~a
o0981004	s	PAP~a--	PAP~a
o0981828	n	1(N01)--	1(N01)
o0980182	s	DU--	DU
o0981828	n	1(N01)--	1(N01)
o0981059	s	SI--	SI
o0982246	s	X--	X
o0981828	n	1(N01)--	1(N01)
o0980830	s	MAR~a--	MAR~a
o0981402	s	UDU~a--	UDU
o0981828	n	1(N01)--	1(N01)
o0981004	s	PAP~a--	PAP~a
o0981828	n	1(N01)--	1(N01)
o0980707	s	KUR~a--	KUR~a
o0981320	s	TUR--	TUR
o0981828	n	1(N01)--	1(N01)
o0982246	s	X--	X
o0982246	s	X--	X
o0981828	n	1(N01)--	1(N01)
o0981059	s	SI--	SI
o0980000	s	A--	A
o0981829	n	2(N01)--	2(N01)
o0980453	s	GAN₂--	GAN₂
o0981451	s	UR₃~d2--	UR₃~d2
o0981004	s	PAP~a--	PAP~a
o0981828	n	1(N01)--	1(N01)
o0981004	s	PAP~a--	PAP~a
o0982174	n	3(N57)--	3(N57)
o0981828	n	1(N01)--	1(N01)
o0981200	s	ŠE~a--	ŠE~a
o0980301	s	E₂~b--	E₂~b
o0981828	n	1(N01)--	1(N01)
o0981050	s	SANGA~a--	SANGA~a
o0981252	s	ŠU₂--	ŠU₂
o0981828	n	1(N01)--	1(N01)
o0981741	s	ZATU773~b--	ZATU773~b
o0980469	s	GEŠTU~b--	GEŠTU~b
o0981828	n	1(N01)--	1(N01)
o0981320	s	TUR--	TUR
o0981247	s	ŠU--	ŠU
o0981829	n	2(N01)--	2(N01)
o0981182	s	ŠA₃~a2--	ŠA₃~a2
o0981050	s	SANGA~a--	SANGA~a
o0981828	n	1(N01)--	1(N01)
o0981645	s	ZATU704--	ZATU704
o0981828	n	1(N01)--	1(N01)
o0980589	s	HI~b--	HI~b
o0981828	n	1(N01)--	1(N01)
o0981068	s	SI₄~a--	SI₄~a
o0981828	n	1(N01)--	1(N01)
o0981004	s	PAP~a--	PAP~a
o0981506	s	|MUŠEN.ŠE~a|--	UZ~a
o0981828	n	1(N01)--	1(N01)
o0982174	n	3(N57)--	3(N57)
o0982246	s	X--	X
o0981828	n	1(N01)--	1(N01)
o0981059	s	SI--	SI
o0980159	s	DARA₄~a1--	DARA₄~a1
o0981828	n	1(N01)--	1(N01)
o0981200	s	ŠE~a--	ŠE~a
o0981068	s	SI₄~a--	SI₄~a
o0981828	n	1(N01)--	1(N01)
o0982246	s	X--	X
o0982246	s	X--	X
o0981828	n	1(N01)--	1(N01)
o0980629	s	KAB--	TUKU
o0981320	s	TUR--	TUR
o0982246	s	X--	X
o0981828	n	1(N01)--	1(N01)
o0980619	s	IŠ~b--	IŠ~b
o0981828	n	1(N01)--	1(N01)
o0982246	s	X--	X
o0980330	s	ERIN--	ERIN
o0981913	n	2(N14)--	2(N14)
o0981832	n	5(N01)--	5(N01)
o0980689	s	KIŠ--	KIŠ
o0981912	n	1(N14)--	1(N14)
o0981830	n	3(N01)--	3(N01)
o0981247	s	ŠU--	ŠU
o0981017	s	RAD~a--	RAD~a
o0981247	s	ŠU--	ŠU
o0981714	s	ZATU753--	ZATU753
o0981714	s	ZATU753--	ZATU753
o0981200	s	ŠE~a--	ŠE~a
o0981832	n	5(N01)--	5(N01)
o0981402	s	UDU~a--	UDU~a
o0980174	s	DIM~a--	DIM~a
o0981832	n	5(N01)--	5(N01)
o0980575	s	HAL--	HAL
o0981004	s	PAP~a--	PAP~a
o0981832	n	5(N01)--	5(N01)
o0981272	s	ŠUR₂~c--	ŠUR₂~c
o0982246	s	X--	X
o0981831	n	4(N01)--	4(N01)
o0981602	s	ZATU678--	ZATU678
o0981914	n	3(N14)--	3(N14)
o0980758	c	|LAGAB~b×(HI×1(N04))|--	|LAGAB~b×(HI×N04)|
o0981831	n	4(N01)--	4(N01)
o0981714	s	ZATU753--	ZATU753
o0981833	n	6(N01)--	6(N01)
o0980839	s	MAŠ₂--	MAŠ₂
o0981830	n	3(N01)--	3(N01)
o0980109	s	BIR~a--	BIR~a
o0980025	s	AB₂--	AB₂
o0981831	n	4(N01)--	4(N01)
o0980420	c	|GA₂~b×NUN~b|--	|GA₂~b×NUN~b|
o0981832	n	5(N01)--	5(N01)
o0980999	s	PA~a--	PA~a
o0981578	s	ZATU659--	ZATU659
o0981830	n	3(N01)--	3(N01)
o0980137	s	DA~a--	DA~a
o0981272	s	ŠUR₂~c--	ŠUR₂~c
o0981463	s	URU~a1--	URU~a1
o0982179	n	8(N57)--	8(N57)
o0982118	n	1(N48)--	1(N48)
o0982033	n	7(N34)--	7(N34)
o0981914	n	3(N14)--	3(N14)
o0980105	s	BARA₂~a--	BARA₂~a
o0982091	n	1(N45)--	1(N45)
o0981919	n	8(N14)--	8(N14)
o0982246	s	X--	X
o0981200	s	ŠE~a--	ŠE~a
o0980807	s	MA₂--	MA₂
o0982026	n	1(N34)--	1(N34)
o0982246	s	X--	X
o0981831	n	4(N01)--	4(N01)
o0980077	s	BA--	BA
o0981828	n	1(N01)--	1(N01)
o0981050	s	SANGA~a--	SANGA~a
o0980139	s	DA~b--	DA~b
o0981914	n	3(N14)--	3(N14)
o0981828	n	1(N01)--	1(N01)
o0981828	n	1(N01)--	1(N01)
o0980430	s	GAL~a--	GAL~a
o0981189	s	ŠAGAN--	ŠAGAN
o0981828	n	1(N01)--	1(N01)
o0980182	s	DU--	DU
o0982174	n	3(N57)--	3(N57)
o0980662	s	KI--	KI
o0980430	s	GAL~a--	GAL~a
o0981189	s	ŠAGAN--	ŠAGAN
o0982026	n	1(N34)--	1(N34)
o0980907	s	NAR--	NAR
o0981041	s	SAL--	SAL
o0982026	n	1(N34)--	1(N34)
o0981315	s	TUM~c--	TUM~c
o0980139	s	DA~b--	DA~b
o0980999	s	PA~a--	PA~a
o0982026	n	1(N34)--	1(N34)
o0982136	n	1(N51)--	1(N51)
o0982026	n	1(N34)--	1(N34)
o0981916	n	5(N14)--	5(N14)
o0981855	n	8(N02)--	8(N02)
o0981392	s	U₈--	U₈
o0980849	s	MU--	MU
o0981936	n	2(N15)--	2(N15)
o0981850	n	3(N02)--	3(N02)
o0981828	n	1(N01)--	1(N01)
o0980839	s	MAŠ₂--	MAŠ₂
o0981828	n	1(N01)--	1(N01)
o0981208	s	ŠE₃--	ŠE₃
o0981402	s	UDU~a--	UDU~a
o0981829	n	2(N01)--	2(N01)
o0981402	s	UDU~a--	UDU~a
o0981914	n	3(N14)--	3(N14)
o0981829	n	2(N01)--	2(N01)
o0980543	s	GU₄--	GU₄
o0980025	s	AB₂--	AB₂
o0980849	s	MU--	MU
o0981050	s	SANGA~a--	SANGA~a
o0980430	s	GAL~a--	GAL~a
o0981914	n	3(N14)--	3(N14)
o0981828	n	1(N01)--	1(N01)
o0980689	s	KIŠ--	KIŠ
o0981828	n	1(N01)--	1(N01)
o0980453	s	GAN₂--	GAN₂
o0981917	n	6(N14)--	6(N14)
o0981829	n	2(N01)--	2(N01)
o0982092	n	2(N45)--	2(N45)
o0981912	n	1(N14)--	1(N14)
o0981829	n	2(N01)--	2(N01)
o0981200	s	ŠE~a--	ŠE~a
o0981952	n	2(N19)--	2(N19)
o0981828	n	1(N01)--	1(N01)
o0980830	s	MAR~a--	MAR~a
o0980472	s	GI--	GI
o0980025	s	AB₂--	AB₂
o0981912	n	1(N14)--	1(N14)
o0980689	s	KIŠ--	KIŠ
o0981829	n	2(N01)--	2(N01)
o0981830	n	3(N01)--	3(N01)
o0981828	n	1(N01)--	1(N01)
o0980025	s	AB₂--	AB₂
o0981247	s	ŠU--	ŠU
o0980472	s	GI--	GI
o0981872	n	1(N05)--	1(N05)
o0980579	s	HI--	HI
o0980033	s	AD~c--	AD~c
o0982246	s	X--	X
o0980699	s	KU₆~a--	KU₆~a
o0980907	s	NAR--	NAR
o0981630	s	ZATU694~c--	ZATU694~c
o0981294	s	TAR~a--	TAR~a
o0980552	s	GUG₂--	GUG₂
o0981463	s	URU~a1--	URU~a1
o0981776	s	ZATU811--	ZATU811
o0981912	n	1(N14)--	1(N14)
o0981828	n	1(N01)--	1(N01)
o0981829	n	2(N01)--	2(N01)
o0981830	n	3(N01)--	3(N01)
o0981030	c	|SAG×GEŠTU~a|--	|SAG+GEŠTU~a|
o0981829	n	2(N01)--	2(N01)
o0982026	n	1(N34)--	1(N34)
o0981916	n	5(N14)--	5(N14)
o0982182	n	1(N58)--	1(N58)
o0981953	n	3(N19)--	3(N19)
o0981863	n	2(N04)--	2(N04)
o0981918	n	7(N14)--	7(N14)
o0982246	s	X--	X
o0981320	s	TUR--	TUR
o0980115	s	BU~a--	BU~a
o0982172	n	1(N57)--	1(N57)
o0982172	n	1(N57)--	1(N57)
o0982246	s	X--	X
o0982246	s	X--	X
o0980334	s	EZEN~a--	EZEN~a
o0982246	s	X--	X
o0981912	n	1(N14)--	1(N14)
o0981832	n	5(N01)--	5(N01)
o0981829	n	2(N01)--	2(N01)
o0981913	n	2(N14)--	2(N14)
o0980137	s	DA~a--	DA~a
o0980058	s	AN--	AN
o0981951	n	1(N19)--	1(N19)
o0981864	n	3(N04)--	3(N04)
o0980115	s	BU~a--	BU~a
o0981041	s	SAL--	SAL
o0980754	c	|LAGAB~b.TE|--	|LAGAB~b.TE|
o0981916	n	5(N14)--	5(N14)
o0982246	s	X--	X
o0982246	s	X--	X
o0981912	n	1(N14)--	1(N14)
o0981952	n	2(N19)--	2(N19)
o0981862	n	1(N04)--	1(N04)
o0981916	n	5(N14)--	5(N14)
o0980058	s	AN--	AN
o0980309	s	EN~a--	EN~a
o0981952	n	2(N19)--	2(N19)
o0981919	n	8(N14)--	8(N14)
o0980656	s	KAŠ~b--	KAŠ~b
o0981200	s	ŠE~a--	ŠE~a
o0982246	s	X--	X
o0981913	n	2(N14)--	2(N14)
o0981830	n	3(N01)--	3(N01)
