o0902858..	n	1(N01)--	1(N01)
o0901502..	s	NI~b--	NI~b
o0902858..	n	1(N01)--	1(N01)
o0901510..	c	|NI~b×X|--	|NI~b×X|
o0902858..	n	1(N01)--	1(N01)
o0901009..	s	IR~a--	IR~a
o0902858..	n	1(N01)--	1(N01)
o0900165..	s	BIR~a--	BIR~a
o0902858..	n	1(N01)--	1(N01)
o0900167..	s	BIR~c--	BIR~c
o0902858..	n	1(N01)--	1(N01)
o0903368..	s	X--	X
o0902858..	n	1(N01)--	1(N01)
o0902040..	s	ŠU₂--	ŠU₂
o0902858..	n	1(N01)--	1(N01)
o0903210..	n	1(N57)--	1(N57)
o0902858..	n	1(N01)--	1(N01)
o0901380..	s	ME~a--	ME~a
o0902858..	n	1(N01)--	1(N01)
o0901381..	s	ME~b--	ME~b
o0902858..	n	1(N01)--	1(N01)
o0901585..	s	NU@g--	NU@g
o0902858..	n	1(N01)--	1(N01)
o0903368..	s	X--	X
o0902858..	n	1(N01)--	1(N01)
o0900485..	s	DUR₂--	DUR₂
o0902858..	n	1(N01)--	1(N01)
o0900262..	s	DIB--	DIB
o0902858..	n	1(N01)--	1(N01)
o0901219..	c	|LAGAB~a×ME~a|--	|LAGAB~a×ME~a|
o0902858..	n	1(N01)--	1(N01)
o0901258..	c	|LAGAB~a×ZATU753|--	|LAGAB~a×ZATU753|
o0902858..	n	1(N01)--	1(N01)
o0902086..	s	TAG~a4--	TAG~a4
o0902858..	n	1(N01)--	1(N01)
o0900709..	c	|GA₂~a1×X|--	|GA₂~a1×X|
o0902858..	n	1(N01)--	1(N01)
o0900648..	c	|GA₂~a1×HAL|--	|GA₂~a1×HAL|
o0902858..	n	1(N01)--	1(N01)
o0900657..	c	|GA₂~a1×KU₆~a|--	|GA₂~a1×KU₆~a|
o0902858..	n	1(N01)--	1(N01)
o0900641..	c	|GA₂~a1×GIŠ@t|--	|GA₂~a1×GIŠ@t|
o0901887..	s	SUKKAL--	SUKKAL
o0902858..	n	1(N01)--	1(N01)
o0903368..	s	X--	X
o0902858..	n	1(N01)--	1(N01)
o0902300..	s	UNUG~a@s--	UNUG~a@s
o0902858..	n	1(N01)--	1(N01)
o0901468..	s	NAM₂--	NAM₂
o0902858..	n	1(N01)--	1(N01)
o0903368..	s	X--	X
o0903368..	s	X--	X
o0903368..	s	X--	X
o0902858..	n	1(N01)--	1(N01)
o0901955..	c	|ŠE~a.NAM₂|--	|ŠE~a.NAM₂|
o0901946..	e	--	-
o0901468..	e	--	-
o0902858..	n	1(N01)--	1(N01)
o0901626..	s	PA~a--	PA~a
o0902858..	n	1(N01)--	1(N01)
