o0981912	n	1(N14)--	1(N14)
o0981834	n	7(N01)--	7(N01)
o0980040	s	AL--	AL
o0980137	s	DA~a--	DA~a
o0980699	s	KU₆~a--	KU₆~a
o0980690	s	KIŠIK~a--	KIŠIK~a
o0981267	s	ŠUBUR--	ŠUBUR
o0980880	s	NA~a--	NA~a
o0980115	s	BU~a--	BU~a
o0980880	s	NA~a--	NA~a
o0980850	s	MUD--	MUD
o0980850	s	MUD--	MUD
o0980483	c	|GI&GI|--	|GI&GI|
o0982174	n	3(N57)--	3(N57)
o0981783	s	ZATU819--	ZATU819
o0982246	s	X--	X
o0980354	s	EZINU~a--	EZINU~a
o0980309	s	EN~a--	EN~a
o0980107	s	BARA₃--	BARA₃
o0980182	s	DU--	DU
o0980494	s	GI₆--	GI₆
o0980789	s	LAM~b--	LAM~b
o0981247	s	ŠU--	ŠU
o0981041	s	SAL--	SAL
o0980297	s	E₂~a--	E₂~a
o0980115	s	BU~a--	BU~a
o0981041	s	SAL--	SAL
o0981267	s	ŠUBUR--	ŠUBUR
o0980174	s	DIM~a--	DIM~a
o0980640	s	KAL~b2--	KAL~b2
o0980932	s	NIMGIR--	NIMGIR
o0980525	c	|(GIŠ×ŠU₂)~a|--	|GIŠ×ŠU₂~a|
o0980932	s	NIMGIR--	NIMGIR
o0980726	s	LA₂--	LA₂
o0981173	s	SUM~b--	SUM~b
o0981459	s	URI₃~a--	URI₃~a
o0981740	s	ZATU773~a--	ZATU773~a
o0981829	n	2(N01)--	2(N01)
o0980309	s	EN~a--	EN~a
o0981320	s	TUR--	TUR
o0980058	s	AN--	AN
o0980309	s	EN~a--	EN~a
o0981059	s	SI--	SI
o0981437	s	UR~a--	UR~a
o0981830	n	3(N01)--	3(N01)
o0981381	c	|U₄×1(N57)|--	|U₄×1(N57)|
o0981320	s	TUR--	TUR
o0981402	s	UDU~a--	UDU~a
o0980297	s	E₂~a--	E₂~a
o0981010	s	PIRIG~b1--	PIRIG~b1
o0980780	s	LAL₂~a--	LAL₂~a
o0980115	s	BU~a--	BU~a
o0982174	n	3(N57)--	3(N57)
o0980662	s	KI--	KI
o0980182	s	DU--	DU
o0981828	n	1(N01)--	1(N01)
o0981382	c	|U₄×2(N57)|--	|U₄×2(N57)|
o0981320	s	TUR--	TUR
o0980579	s	HI--	HI
o0980182	s	DU--	DU
o0981278	s	TA~c--	TA~c
o0981836	n	9(N01)--	9(N01)
o0981383	c	|U₄×3(N57)|--	|U₄×3(N57)|
o0981320	s	TUR--	TUR
o0980179	s	DIN--	DIN
o0980297	s	E₂~a--	E₂~a
o0980511	s	GIR₃~c--	GIR₃~c
o0980917	s	NI~a--	NI~a
o0981267	s	ŠUBUR--	ŠUBUR
o0981017	s	RAD~a--	RAD~a
o0980871	s	MUŠEN--	MUŠEN
o0982172	n	1(N57)--	1(N57)
o0980309	s	EN~a--	EN~a
o0980928	s	NIM~b1--	NIM~b1
o0981004	s	PAP~a--	PAP~a
o0981323	s	TUR₃~a--	TUR₃~a
o0981330	s	U₂~b--	U₂~b
o0980182	s	DU--	DU
o0980058	s	AN--	AN
o0981394	s	UB--	UB
o0980579	s	HI--	HI
o0981291	s	TAK₄~a--	TAK₄~a
o0980000	s	A--	A
o0981330	s	U₂~b--	U₂~b
o0981912	n	1(N14)--	1(N14)
o0981836	n	9(N01)--	9(N01)
o0980040	s	AL--	AL
o0980562	s	GUL--	GUL
o0980692	s	KITI--	KITI
o0980331	s	EŠDA--	EŠDA
o0980058	s	AN--	AN
o0980880	s	NA~a--	NA~a
o0981267	s	ŠUBUR--	ŠUBUR
o0980690	s	KIŠIK~a--	KIŠIK~a
o0980309	s	EN~a--	EN~a
o0981004	s	PAP~a--	PAP~a
o0980472	s	GI--	GI
o0980174	s	DIM~a--	DIM~a
o0980309	s	EN~a--	EN~a
o0981320	s	TUR--	TUR
o0980297	s	E₂~a--	E₂~a
o0981267	s	ŠUBUR--	ŠUBUR
o0980483	c	|GI&GI|--	|GI&GI|
o0982174	n	3(N57)--	3(N57)
o0980050	s	AMA~a--	AMA~a
o0980058	s	AN--	AN
o0980309	s	EN~a--	EN~a
o0980309	s	EN~a--	EN~a
o0980880	s	NA~a--	NA~a
o0980929	s	NIM~b2--	NIM~b2
o0980801	s	MA--	MA
o0980801	s	MA--	MA
o0980309	s	EN~a--	EN~a
o0980880	s	NA~a--	NA~a
o0980929	s	NIM~b2--	NIM~b2
o0980472	s	GI--	GI
o0980880	s	NA~a--	NA~a
o0980058	s	AN--	AN
o0980662	s	KI--	KI
o0980309	s	EN~a--	EN~a
o0980992	s	NUNUZ~a0--	NUNUZ~a0
o0980365	s	GA₂~a1--	GA₂~a1
o0980726	s	LA₂--	LA₂
o0981296	s	TE--	TE
o0980659	s	KAŠ~c--	KAŠ~c
o0982246	s	X--	X
o0981252	s	ŠU₂--	ŠU₂
o0981459	s	URI₃~a--	URI₃~a
o0981303	s	TU~a--	TU~a
o0980309	s	EN~a--	EN~a
o0981833	n	6(N01)--	6(N01)
o0981320	s	TUR--	TUR
o0980309	s	EN~a--	EN~a
o0980659	s	KAŠ~c--	KAŠ~c
o0980058	s	AN--	AN
o0980880	s	NA~a--	NA~a
o0980841	s	ME~a--	ME~a
o0980586	c	|(HI×1(N57)).(HI×1(N57))|--	|(HI×1(N57)).(HI×1(N57))|
o0980309	s	EN~a--	EN~a
o0981004	s	PAP~a--	PAP~a
o0980515	s	GIR₃@g~b--	GIR₃@g~b
o0982174	n	3(N57)--	3(N57)
o0981437	s	UR~a--	UR~a
o0981459	s	URI₃~a--	URI₃~a
o0982246	s	X--	X
o0981831	n	4(N01)--	4(N01)
o0981381	c	|U₄×1(N57)|--	|U₄×1(N57)|
o0981320	s	TUR--	TUR
o0981247	s	ŠU--	ŠU
o0981004	s	PAP~a--	PAP~a
o0980309	s	EN~a--	EN~a
o0980309	s	EN~a--	EN~a
o0982246	s	X--	X
o0980058	s	AN--	AN
o0981680	s	ZATU735~a--	ZATU735~a
o0980182	s	DU--	DU
o0980326	s	ERIM~a--	ERIM~a
o0981912	n	1(N14)--	1(N14)
o0981830	n	3(N01)--	3(N01)
o0981383	c	|U₄×3(N57)|--	|U₄×3(N57)|
o0981320	s	TUR--	TUR
o0981291	s	TAK₄~a--	TAK₄~a
o0980105	s	BARA₂~a--	BARA₂~a
o0981252	s	ŠU₂--	ŠU₂
o0981004	s	PAP~a--	PAP~a
o0980297	s	E₂~a--	E₂~a
o0980789	s	LAM~b--	LAM~b
o0980850	s	MUD--	MUD
o0980117	c	|BU~a+DU₆~a|--	|BU~a+DU₆~a|
o0980562	s	GUL--	GUL
o0980058	s	AN--	AN
o0981291	s	TAK₄~a--	TAK₄~a
o0981392	s	U₈--	U₈
o0980365	s	GA₂~a1--	GA₂~a1
o0980309	s	EN~a--	EN~a
o0980541	s	GU--	GU
o0982174	n	3(N57)--	3(N57)
o0980297	s	E₂~a--	E₂~a
o0982246	s	X--	X
o0981914	n	3(N14)--	3(N14)
o0981833	n	6(N01)--	6(N01)
o0980040	s	AL--	AL
o0981835	n	8(N01)--	8(N01)
o0980309	s	EN~a--	EN~a
o0981320	s	TUR--	TUR
o0981834	n	7(N01)--	7(N01)
o0981381	c	|U₄×1(N57)|--	|U₄×1(N57)|
o0981320	s	TUR--	TUR
o0981828	n	1(N01)--	1(N01)
o0981382	c	|U₄×2(N57)|--	|U₄×2(N57)|
o0981320	s	TUR--	TUR
o0981913	n	2(N14)--	2(N14)
o0981829	n	2(N01)--	2(N01)
o0981383	c	|U₄×3(N57)|--	|U₄×3(N57)|
o0981320	s	TUR--	TUR
o0982026	n	1(N34)--	1(N34)
o0981912	n	1(N14)--	1(N14)
o0981831	n	4(N01)--	4(N01)
o0982172	n	1(N57)--	1(N57)
o0982173	n	2(N57)--	2(N57)
o0980858	s	MUN~a1--	MUN~a1
o0981148	s	SU~a--	SU~a
o0981004	s	PAP~a--	PAP~a
o0980929	s	NIM~b2--	NIM~b2
o0980154	c	|DARA₃~c×KAR₂|--	|DARA₃~c×KAR₂|
o0980040	s	AL--	AL
o0981914	n	3(N14)--	3(N14)
o0981829	n	2(N01)--	2(N01)
o0980040	s	AL--	AL
o0982173	n	2(N57)--	2(N57)
o0980858	s	MUN~a1--	MUN~a1
o0980999	s	PA~a--	PA~a
o0980659	s	KAŠ~c--	KAŠ~c
o0980137	s	DA~a--	DA~a
o0981169	s	SUKUD@g~d--	SUKUD@g~d
o0980917	s	NI~a--	NI~a
o0981332	s	U₄--	U₄
o0981247	s	ŠU--	ŠU
o0981578	s	ZATU659--	ZATU659
o0980115	s	BU~a--	BU~a
o0981200	s	ŠE~a--	ŠE~a
o0981267	s	ŠUBUR--	ŠUBUR
o0980309	s	EN~a--	EN~a
o0981330	s	U₂~b--	U₂~b
o0980182	s	DU--	DU
o0980354	s	EZINU~a--	EZINU~a
o0980309	s	EN~a--	EN~a
o0981578	s	ZATU659--	ZATU659
o0981578	s	ZATU659--	ZATU659
o0981247	s	ŠU--	ŠU
o0981247	s	ŠU--	ŠU
o0980115	s	BU~a--	BU~a
o0980472	s	GI--	GI
o0981252	s	ŠU₂--	ŠU₂
o0981004	s	PAP~a--	PAP~a
o0982174	n	3(N57)--	3(N57)
o0981041	s	SAL--	SAL
o0982174	n	3(N57)--	3(N57)
o0980000	s	A--	A
o0980115	s	BU~a--	BU~a
o0981437	s	UR~a--	UR~a
o0982174	n	3(N57)--	3(N57)
o0980174	s	DIM~a--	DIM~a
o0980309	s	EN~a--	EN~a
o0980525	c	|(GIŠ×ŠU₂)~a|--	|GIŠ×ŠU₂~a|
o0981247	s	ŠU--	ŠU
o0981247	s	ŠU--	ŠU
o0980350	s	EZEN~b--	EZEN~b
o0980309	s	EN~a--	EN~a
o0981252	s	ŠU₂--	ŠU₂
o0981041	s	SAL--	SAL
o0980309	s	EN~a--	EN~a
o0980053	s	AMAR--	AMAR
o0981247	s	ŠU--	ŠU
o0980297	s	E₂~a--	E₂~a
o0980115	s	BU~a--	BU~a
o0980174	s	DIM~a--	DIM~a
o0981004	s	PAP~a--	PAP~a
o0981181	s	ŠA₃~a1--	ŠA₃~a1
o0980000	s	A--	A
o0981291	s	TAK₄~a--	TAK₄~a
o0980898	s	NAM₂--	NAM₂
o0980083	s	BAHAR₂~a--	BAHAR₂~a
o0980309	s	EN~a--	EN~a
o0980309	s	EN~a--	EN~a
o0981330	s	U₂~b--	U₂~b
o0980579	s	HI--	HI
o0980083	s	BAHAR₂~a--	BAHAR₂~a
o0982174	n	3(N57)--	3(N57)
o0982177	n	6(N57)--	6(N57)
o0981392	s	U₈--	U₈
o0981836	n	9(N01)--	9(N01)
o0980309	s	EN~a--	EN~a
o0981320	s	TUR--	TUR
o0980999	s	PA~a--	PA~a
o0981317	s	TUN₃~a--	TUN₃~a
o0981028	s	SAG--	SAG
o0980579	s	HI--	HI
o0980933	s	|SAL.NAM₂|--	NIN
o0981059	s	SI--	SI
o0980107	s	BARA₃--	BARA₃
o0980917	s	NI~a--	NI~a
o0980511	s	GIR₃~c--	GIR₃~c
