id_text	designation	artifact_type	period	provenience	museum_no	accession_no	excavation_no	artifact_comments	seal_information	collections	dates	alternative_years	genres	languages	materials	publications_key	publications_type	publications_exact_ref
P000001	CDLI Lexical 000002, ex. 065	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	VAT 01533		W 06435,a			Vorderasiatisches Museum, Berlin, Germany	00.00.00.00		Lexical	undetermined	clay	1428991;1444278	history;history	pl. 11, W 6435,a;
P000002	CDLI Lexical 000002, ex. 066	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	VAT 15263		W 06435,b			Vorderasiatisches Museum, Berlin, Germany	00.00.00.00		Lexical	undetermined	clay	1428992;1444279	history;history	pl. 11, W 6435,b;
P000003	ATU 3, pl. 081, W 9123,d	tablet	Uruk IV (ca. 3350-3200 BC)	Uruk (mod. Warka)	VAT 15253		W 09123,d			Vorderasiatisches Museum, Berlin, Germany			Vocabularies	undetermined	clay	Englund1993;1375573	primary;history	pl. 81, W 9123,d;
P000004	CDLI Lexical 000002, ex. 051	tablet	Uruk IV (ca. 3350-3200 BC)	Uruk (mod. Warka)	VAT 15168		W 09169,d			Vorderasiatisches Museum, Berlin, Germany	00.00.00.00		Lexical	undetermined	clay	1428993;1444280	history;history	pl. 9, W 9169,d;
P000005	CDLI Lexical 000002, ex. 172	tablet	Uruk IV (ca. 3350-3200 BC)	Uruk (mod. Warka)	VAT 15153		W 09206,k			Vorderasiatisches Museum, Berlin, Germany	00.00.00.00		Lexical	undetermined	clay	1428994;1444281	history;history	pl. 23, W 9206,k;
P000006	CDLI Lexical 000002, ex. 173	tablet	Uruk IV (ca. 3350-3200 BC)	Uruk (mod. Warka)	VAT 15003		W 09656,h1			Vorderasiatisches Museum, Berlin, Germany	00.00.00.00		Lexical	undetermined	clay	Nissen1991FrüheSchrift ; Englund1993ATU3; Falkenstein1936ATU1; sec12; Woods2010writing	history; history; history; history; history	p. 153, no. 16.1; pl. 23, W 9656,h1; 340; ; 074
P000007	CDLI Lexical 000002, ex. 174	tablet	Uruk IV (ca. 3350-3200 BC)	Uruk (mod. Warka)	VAT 15111		W 09656,x			Vorderasiatisches Museum, Berlin, Germany	00.00.00.00		Lexical	undetermined	clay	1428996;1444282	history;history	pl. 23, W 9656,x;
P000008	CDLI Lexical Archaic Unidentified, ex. 003	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	VAT 17684		W 11985,e			Vorderasiatisches Museum, Berlin, Germany			Lexical	undetermined	clay	1375574	history	pl. 85, W 11985,e
P000009	CDLI Lexical 000002, ex. 160	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	VAT 17702		W 11985,f			Vorderasiatisches Museum, Berlin, Germany	00.00.00.00		Lexical	undetermined	clay	1375575	history	pl. 22, W 11985,f
P000010	CDLI Lexical 000007, ex. 006	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	VAT 17709		W 11985,g			Vorderasiatisches Museum, Berlin, Germany			Lexical	undetermined	clay	1375576	history	pl. 26, W 11985,g
P000011	CDLI Lexical 000002, ex. 017 & 000026, ex. 054	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	VAT 17685		W 11986,a			Vorderasiatisches Museum, Berlin, Germany	00.00.00.00		Lexical	undetermined	clay	1375577	history	pl. 4, W 11986,a
P000012	CDLI Lexical 000002, ex. 136	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	VAT 17619		W 11986,c			Vorderasiatisches Museum, Berlin, Germany	00.00.00.00		Lexical	undetermined	clay	1375578	history	pl. 19, W 11986,c
P000013	CDLI Lexical Archaic Unidentified, ex. 004	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	VAT 17729		W 11988,d			Vorderasiatisches Museum, Berlin, Germany			Lexical	undetermined	clay	1375579	history	pl. 85, W 11988,d
P000014	ATU 3, pl. 036, W 12139	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	VAT 16773		W 12139			Vorderasiatisches Museum, Berlin, Germany			Lexical	undetermined	clay	Englund1993;1428997;1454046;1458908	primary;history;history;history	pl. 36, W 12139; p. 173 fig. 63; ;
P000015	CDLI Lexical 000023, ex. 091	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	VAT 17858 + VAT 17886		W 12256,i + W 12256,k + W 12256,l + W 12256,o			Vorderasiatisches Museum, Berlin, Germany	00.00.00.00		Lexical	undetermined	clay	1428998;1444283	history;history	pl. 66, W 12256,i+;
P000019	CDLI Lexical 000002, ex. 038	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	VAT 17630		W 13662,c1			Vorderasiatisches Museum, Berlin, Germany	00.00.00.00		Lexical	undetermined	clay	1375580;1454047;1458909	history;history;history	pl. 7, W 13662,c1
P000020	CDLI Lexical Archaic Unidentified, ex. 005	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	VAT 17699		W 13662,v1			Vorderasiatisches Museum, Berlin, Germany			Lexical	undetermined	clay	1375581	history	pl. 85, W 13662,v1
P000021	ATU 3, pl. 080, W 13948	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	VAT 16972		W 13948			Vorderasiatisches Museum, Berlin, Germany			Vocabularies	undetermined	clay	Englund1993	primary	pl. 80, W 13948
P000022	ATU 3, pl. 082, W 13982	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	VAT 16741		W 13982			Vorderasiatisches Museum, Berlin, Germany			Lexical	undetermined	clay	Nissen1991FrüheSchrift ; Englund1993ATU3; Englund1998OBO160/1; Woods2010writing	history; primary; history; history	p. 148, no. 15.4; pl. 82, W 13982; p. 85 fig. 23; 042 & 075
P000023	ATU 3, pl. 080, W 14264	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	VAT 16759		W 14264			Vorderasiatisches Museum, Berlin, Germany			Vocabularies	undetermined	clay	Englund1993	primary	pl. 80, W 14264
P000024	CDLI Lexical Archaic Unidentified, ex. 006	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	VAT 17588		W 14335,c			Vorderasiatisches Museum, Berlin, Germany			Lexical	undetermined	clay	1375582	history	pl. 85, W 14335,c
P000025	ATU 3, pl. 080, W 14337,a+	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	VAT 16912		W 14337,a + W 14337,b + W 14337,c + W 14337,d + W 14337,e			Vorderasiatisches Museum, Berlin, Germany			Vocabularies	undetermined	clay	Englund1993;1375583	primary;history	pl. 80, W 14337,a+;
P000030	CDLI Lexical 000002, ex. 018	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	VA — ?		W 14497			Vorderasiatisches Museum, Berlin, Germany	00.00.00.00		Lexical	undetermined	clay	1375584	history	pl. 4, W 14497
P000031	CDLI Lexical 000002, ex. 078	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	VA — ?		W 14551,a + W 14551,b ?			Vorderasiatisches Museum, Berlin, Germany	00.00.00.00		Lexical	undetermined	clay	1375585	history	pl. 13, W 14551,a+
P000033	CDLI Lexical 000002, ex. 151	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	VA — ?		W 14638			Vorderasiatisches Museum, Berlin, Germany	00.00.00.00		Lexical	undetermined	clay	1375586	history	pl. 21, W 14638
P000034	CDLI Lexical Archaic Unidentified, ex. 007	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	VA — ?		W 14731,x			Vorderasiatisches Museum, Berlin, Germany			Lexical	undetermined	clay	1375587	history	pl. 85, W 14731,x
P000035	CDLI Lexical 000013, ex. 008	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	VAT 16828		W 14777,b			Vorderasiatisches Museum, Berlin, Germany			Lexical	undetermined	clay	1375588	history	pl. 32, W 14777,b
P000036	CDLI Lexical 000028, ex. 01	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	VAT 16945		W 15085			Vorderasiatisches Museum, Berlin, Germany	00.00.00.00		Lexical	undetermined	clay	1375589	history	pl. 75, W 15085,
P000037	CDLI Lexical Archaic Unidentified, ex. 008	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	VAT 16902		W 15772,l			Vorderasiatisches Museum, Berlin, Germany			Lexical	undetermined	clay	1375590	history	pl. 85, W 15772,l
P000038	CDLI Lexical Archaic Unidentified, ex. 009	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 023436,14		W 15773,c			National Museum of Iraq, Baghdad, Iraq			Lexical	undetermined	clay	1375591	history	pl. 85, W 15773,c
P000039	CDLI Lexical Archaic Unidentified, ex. 010	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 023436,04		W 15773,q			National Museum of Iraq, Baghdad, Iraq			Lexical	undetermined	clay	1375592	history	pl. 85, W 15773,q
P000040	CDLI Lexical Archaic Unidentified, ex. 011	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 023436,06		W 15773,t			National Museum of Iraq, Baghdad, Iraq			Lexical	undetermined	clay	1375593	history	pl. 85, W 15773,t
P000041	CDLI Lexical Archaic Unidentified, ex. 012	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	VAT 17662		W 15774,q			Vorderasiatisches Museum, Berlin, Germany			Lexical	undetermined	clay	1375594	history	pl. 85, W 15774,q
P000042	CDLI Lexical 000022, ex. 001	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	VAT 17590		W 15774,w			Vorderasiatisches Museum, Berlin, Germany	00.00.00.00		Lexical	undetermined	clay	1375595	history	pl. 37, W 15774,w
P000043	CDLI Lexical Archaic Unidentified, ex. 013	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 023438,5 + VAT 16976		W 15775,f + W 15775,ae			National Museum of Iraq, Baghdad, Iraq;Vorderasiatisches Museum, Berlin, Germany			Lexical	undetermined	clay	1375596	history	pl. 85, W 15775,f+
P000045	CDLI Lexical 000007, ex. 007	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 023438,6		W 15775,af			National Museum of Iraq, Baghdad, Iraq			Lexical	undetermined	clay	1375597	history	pl. 26, W 15775,af
P000046	CDLI Lexical 000002, ex. 032	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 023439,07		W 15825,a7			National Museum of Iraq, Baghdad, Iraq	00.00.00.00		Lexical	undetermined	clay	1375598	history	pl. 6, W 15825,a7
P000047	CDLI Lexical 000023, ex. 026	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 023439,08		W 15825,a8			National Museum of Iraq, Baghdad, Iraq	00.00.00.00		Lexical	undetermined	clay	1375599	history	pl. 57, W 15825,a8
P000048	CDLI Lexical 000002, ex. 067	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 023440,06a ?		W 15833,a07 + W 15833,08			National Museum of Iraq, Baghdad, Iraq	00.00.00.00		Lexical	undetermined	clay	1375600	history	pl. 12, W 15833,a7+
P000050	CDLI Lexical 000007, ex. 011	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 023441,1		W 15863,d			National Museum of Iraq, Baghdad, Iraq			Lexical	undetermined	clay	1375601	history	pl. 27, W 15863,d
P000051	CDLI Lexical 000002, ex. 088	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 023446,01a ?		W 15892,a + W 15892,b			National Museum of Iraq, Baghdad, Iraq	00.00.00.00		Lexical	undetermined	clay	1375602	history	pl. 14, W 15892,a+
P000053	CDLI Lexical 000023, ex. 010	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 023446,02		W 15892,c			National Museum of Iraq, Baghdad, Iraq	00.00.00.00		Lexical	undetermined	clay	1375603	history	pl. 55, W 15892,c
P000054	CDLI Lexical 000002, ex. 068	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	VAT 16757		W 15895,a			Vorderasiatisches Museum, Berlin, Germany	00.00.00.00		Lexical	undetermined	clay	1375604	history	pl. 12, W 15895,a
P000055	CDLI Lexical 000002, ex. 058	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	VAT 17678		W 15895,b			Vorderasiatisches Museum, Berlin, Germany	00.00.00.00		Lexical	undetermined	clay	1375605	history	pl. 11, W 15895,b
P000056	CDLI Lexical 000023, ex. 086	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	VAT 17615		W 15895,c			Vorderasiatisches Museum, Berlin, Germany	00.00.00.00		Lexical	undetermined	clay	1375606	history	pl. 65, W 15895,c
P000057	CDLI Lexical 000002, ex. 117	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	VAT 16941 + VAT 17656		W 15895,d + W 15895,v			Vorderasiatisches Museum, Berlin, Germany	00.00.00.00		Lexical	undetermined	clay	1375607	history	pl. 17, W 15895,d+
P000058	CDLI Lexical 000023, ex. 062	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	VAT 16804 + VAT 21311		W 15895,e + W 15895,f			Vorderasiatisches Museum, Berlin, Germany	00.00.00.00		Lexical	undetermined	clay	1375608	history	pl. 62, W 15895,e+
P000060	CDLI Lexical 000026, ex. 035	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	VAT 17654		W 15895,g			Vorderasiatisches Museum, Berlin, Germany	00.00.00.00		Lexical	undetermined	clay	1375609	history	pl. 73, W 15895,g
P000061	CDLI Lexical 000002, ex. 092	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	VAT 16798		W 15895,h			Vorderasiatisches Museum, Berlin, Germany	00.00.00.00		Lexical	undetermined	clay	1375610	history	pl. 14, W 15895,h
P000062	CDLI Lexical 000030, ex. 027	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	VAT 16826		W 15895,i			Vorderasiatisches Museum, Berlin, Germany			Lexical	undetermined	clay	1375611	history	pl. 49, W 15895,i
P000063	CDLI Lexical 000026, ex. 036	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	VAT 17650		W 15895,k			Vorderasiatisches Museum, Berlin, Germany	00.00.00.00		Lexical	undetermined	clay	1375612	history	pl. 73, W 15895,k
P000064	CDLI Lexical 000023, ex. 063	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	VAT 16802 + VAT 16808		W 15895,l +			Vorderasiatisches Museum, Berlin, Germany	00.00.00.00		Lexical	undetermined	clay	1375613	history	pl. 62, W 15895,l+
P000065	CDLI Lexical Archaic Unidentified, ex. 021	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	VAT 17696		W 15895,m			Vorderasiatisches Museum, Berlin, Germany			Lexical	undetermined	clay	1375614	history	pl. 86, W 15895,m
P000066	CDLI Lexical 000002, ex. 047	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	VAT 16819		W 15895,n			Vorderasiatisches Museum, Berlin, Germany	00.00.00.00		Lexical	undetermined	clay	1375615	history	pl. 9, W 15895,n
P000067	CDLI Lexical 000002, ex. 052	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	VAT 16817		W 15895,o			Vorderasiatisches Museum, Berlin, Germany	00.00.00.00		Lexical	undetermined	clay	1375616	history	pl. 10, W 15895,o
P000068	CDLI Lexical 000030, ex. 013	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	VAT 17665		W 15895,p + W 15895,aq			Vorderasiatisches Museum, Berlin, Germany			Lexical	undetermined	clay	1375617	history	pl. 47, W 15895,p+
P000069	CDLI Lexical 000023, ex. 053	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	VAT 16806		W 15895,q			Vorderasiatisches Museum, Berlin, Germany	00.00.00.00		Lexical	undetermined	clay	1375618	history	pl. 61, W 15895,q
P000070	CDLI Lexical 000030, ex. 028	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	VAT 17623		W 15895,r			Vorderasiatisches Museum, Berlin, Germany			Lexical	undetermined	clay	1375619	history	pl. 49, W 15895,r
P000071	CDLI Lexical 000002, ex. 019	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	VAT 16803		W 15895,s			Vorderasiatisches Museum, Berlin, Germany	00.00.00.00		Lexical	undetermined	clay	1375620	history	pl. 4, W 15895,s
P000072	CDLI Lexical 000023, ex. 018	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	VAT 17677		W 15895,t			Vorderasiatisches Museum, Berlin, Germany	00.00.00.00		Lexical	undetermined	clay	1375621	history	pl. 56, W 15895,t
P000073	CDLI Lexical 000023, ex. 019	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	VAT 16931		W 15895,u			Vorderasiatisches Museum, Berlin, Germany	00.00.00.00		Lexical	undetermined	clay	1375622	history	pl. 56, W 15895,u
P000075	CDLI Lexical 000007, ex. 008	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	VAT 17667		W 15895,w			Vorderasiatisches Museum, Berlin, Germany			Lexical	undetermined	clay	1375623	history	pl. 26, W 15895,w
P000076	CDLI Lexical 000028, ex. 02	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	VAT 16821		W 15895,y			Vorderasiatisches Museum, Berlin, Germany	00.00.00.00		Lexical	undetermined	clay	1375624	history	pl. 75, W 15895,y,
P000077	CDLI Lexical 000026, ex. 001	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 023447,01		W 15895,aa			National Museum of Iraq, Baghdad, Iraq	00.00.00.00		Lexical	undetermined	clay	1375625	history	pl. 68, W 15895,aa
P000078	CDLI Lexical 000030, ex. 011	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 023447,02		W 15895,ab			National Museum of Iraq, Baghdad, Iraq			Lexical	undetermined	clay	1375626	history	pl. 47, W 15895,ab
P000079	CDLI Lexical Archaic Unidentified, ex. 014	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 023447,03		W 15895,ac			National Museum of Iraq, Baghdad, Iraq			Lexical	undetermined	clay	1375627	history	pl. 86, W 15895,ac
P000080	CDLI Lexical 000002, ex. 079	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 023447,04		W 15895,ad			National Museum of Iraq, Baghdad, Iraq	00.00.00.00		Lexical	undetermined	clay	1375628	history	pl. 13, W 15895,ad
P000081	CDLI Lexical 000002, ex. 089	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 023447,05		W 15895,ae			National Museum of Iraq, Baghdad, Iraq	00.00.00.00		Lexical	undetermined	clay	1375629	history	pl. 14, W 15895,ae
P000082	CDLI Lexical 000002, ex. 080	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 023447,08		W 15895,ah			National Museum of Iraq, Baghdad, Iraq	00.00.00.00		Lexical	undetermined	clay	1375630	history	pl. 13, W 15895,ah
P000083	CDLI Lexical 000002, ex. 099	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 023447,09		W 15895,ai			National Museum of Iraq, Baghdad, Iraq	00.00.00.00		Lexical	undetermined	clay	1375631	history	pl. 15, W 15895,ai
P000084	CDLI Lexical 000002, ex. 090	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 023447,10		W 15895,ak			National Museum of Iraq, Baghdad, Iraq	00.00.00.00		Lexical	undetermined	clay	1375632	history	pl. 14, W 15895,ak
P000085	CDLI Lexical Archaic Unidentified, ex. 015	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 023447,12		W 15895,am			National Museum of Iraq, Baghdad, Iraq			Lexical	undetermined	clay	1375633	history	pl. 86, W 15895,am
P000086	CDLI Lexical Archaic Unidentified, ex. 016	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 023447,13		W 15895,an			National Museum of Iraq, Baghdad, Iraq			Lexical	undetermined	clay	1375634	history	pl. 86, W 15895,an
P000087	CDLI Lexical 000002, ex. 116	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 023447,14		W 15895,ao			National Museum of Iraq, Baghdad, Iraq	00.00.00.00		Lexical	undetermined	clay	1375635	history	pl. 17, W 15895,ao
P000088	CDLI Lexical 000002, ex. 069	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 023447,15		W 15895,ap			National Museum of Iraq, Baghdad, Iraq	00.00.00.00		Lexical	undetermined	clay	1375636	history	pl. 12, W 15895,ap
P000090	CDLI Lexical 000023, ex. 045	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 023447,17		W 15895,ar			National Museum of Iraq, Baghdad, Iraq	00.00.00.00		Lexical	undetermined	clay	1375637	history	pl. 60, W 15895,ar
P000091	CDLI Lexical 000002, ex. 137	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 023447,18		W 15895,as			National Museum of Iraq, Baghdad, Iraq	00.00.00.00		Lexical	undetermined	clay	1375638	history	pl. 19, W 15895,as
P000092	CDLI Lexical Archaic Unidentified, ex. 017	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 023447,19		W 15895,at			National Museum of Iraq, Baghdad, Iraq			Lexical	undetermined	clay	1375639	history	pl. 86, W 15895,at
P000093	CDLI Lexical 000023, ex. 002	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 023447,20		W 15895,au			National Museum of Iraq, Baghdad, Iraq	00.00.00.00		Lexical	undetermined	clay	1375640	history	pl. 54, W 15895,au
P000094	CDLI Lexical Archaic Unidentified, ex. 018	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 023447,21		W 15895,av			National Museum of Iraq, Baghdad, Iraq			Lexical	undetermined	clay	1375641	history	pl. 86, W 15895,av
P000095	CDLI Lexical 000002, ex. 152	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 023447,22		W 15895,aw			National Museum of Iraq, Baghdad, Iraq	00.00.00.00		Lexical	undetermined	clay	1375642	history	pl. 21, W 15895,aw
P000096	CDLI Lexical Archaic Unidentified, ex. 019	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 023447,23		W 15895,ax			National Museum of Iraq, Baghdad, Iraq			Lexical	undetermined	clay	1375643	history	pl. 86, W 15895,ax
P000097	CDLI Lexical 000023, ex. 032	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 023447,24		W 15895,ay			National Museum of Iraq, Baghdad, Iraq	00.00.00.00		Lexical	undetermined	clay	1375644	history	pl. 58, W 15895,ay
P000098	CDLI Lexical 000023, ex. 038	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 023447,25 + VAT 17686		W 15895,az + W 15895,br			National Museum of Iraq, Baghdad, Iraq;Vorderasiatisches Museum, Berlin, Germany	00.00.00.00		Lexical	undetermined	clay	1375645	history	pl. 59, W 15895,az+
P000099	CDLI Lexical 000002, ex. 070	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	VAT 21310		W 15895,ba			Vorderasiatisches Museum, Berlin, Germany	00.00.00.00		Lexical	undetermined	clay	1375646	history	pl. 12, W 15895,ba
P000100	CDLI Lexical 000030, ex. 001	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	VAT 17652		W 15895,bb			Vorderasiatisches Museum, Berlin, Germany			Lexical	undetermined	clay	1375647	history	pl. 44, W 15895,bb
P000101	CDLI Lexical 000002, ex. 081	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	VAT 17691		W 15895,bc			Vorderasiatisches Museum, Berlin, Germany	00.00.00.00		Lexical	undetermined	clay	1375648	history	pl. 13, W 15895,bc
P000102	CDLI Lexical 000002, ex. 071	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	VAT 17640		W 15895,bd			Vorderasiatisches Museum, Berlin, Germany	00.00.00.00		Lexical	undetermined	clay	1375649	history	pl. 12, W 15895,bd
P000103	CDLI Lexical 000026, ex. 027	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	VAT 17637		W 15895,be			Vorderasiatisches Museum, Berlin, Germany	00.00.00.00		Lexical	undetermined	clay	1375650	history	pl. 72, W 15895,be
P000104	CDLI Lexical 000023, ex. 052	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	VAT 16921		W 15895,bf			Vorderasiatisches Museum, Berlin, Germany	00.00.00.00		Lexical	undetermined	clay	1375651	history	pl. 61, W 15895,bf
P000105	CDLI Lexical 000002, ex. 153	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	VAT 17661		W 15895,bi			Vorderasiatisches Museum, Berlin, Germany	00.00.00.00		Lexical	undetermined	clay	1375652	history	pl. 21, W 15895,bi
P000106	CDLI Lexical 000002, ex. 001	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	VAT 17583		W 15895,bk			Vorderasiatisches Museum, Berlin, Germany	00.00.00.00		Lexical	undetermined	clay	1375653	history	pl. 1, W 15895,bk
P000107	CDLI Lexical 000002, ex. 154	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	VAT 17723		W 15895,bm			Vorderasiatisches Museum, Berlin, Germany	00.00.00.00		Lexical	undetermined	clay	1375654	history	pl. 21, W 15895,bm
P000108	CDLI Lexical 000002, ex. 143	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	VAT 17692		W 15895,bn			Vorderasiatisches Museum, Berlin, Germany	00.00.00.00		Lexical	undetermined	clay	1375655	history	pl. 20, W 15895,bn
P000109	CDLI Lexical 000002, ex. 091	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	VAT 17676		W 15895,bo			Vorderasiatisches Museum, Berlin, Germany	00.00.00.00		Lexical	undetermined	clay	1375656	history	pl. 14, W 15895,bo
P000110	CDLI Lexical Archaic Unidentified, ex. 020	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	VAT 17651		W 15895,bp			Vorderasiatisches Museum, Berlin, Germany			Lexical	undetermined	clay	1375657	history	pl. 86, W 15895,bp
P000111	CDLI Lexical 000030, ex. 012	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	VAT 16853		W 15895,bq			Vorderasiatisches Museum, Berlin, Germany			Lexical	undetermined	clay	1375658;1444284	history;history	pl. 47, W 15895,bq
P000113	CDLI Lexical 000023, ex. 033	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	VAT 17641		W 15895,bs			Vorderasiatisches Museum, Berlin, Germany	00.00.00.00		Lexical	undetermined	clay	1375659	history	pl. 58, W 15895,bs
P000114	CDLI Lexical 000030, ex. 026	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	VAT 17638		W 15895,bt			Vorderasiatisches Museum, Berlin, Germany			Lexical	undetermined	clay	1375660	history	pl. 49, W 15895,bt
P000115	CDLI Lexical 000002, ex. 059	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	VAT 17683		W 15895,bu			Vorderasiatisches Museum, Berlin, Germany	00.00.00.00		Lexical	undetermined	clay	1375661	history	pl. 11, W 15895,bu
