P000001	CDLI Lexical 000002, ex. 065	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 011, W 6435,a; ATU 1, 594
P000002	CDLI Lexical 000002, ex. 066	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 011, W 6435,b; ATU 1, 595
P000004	CDLI Lexical 000002, ex. 051	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 009, W 9169,d; ATU 1, 489
P000005	CDLI Lexical 000002, ex. 172	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 023, W 9206,k; ATU 1, 390
P000006	CDLI Lexical 000002, ex. 173	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 023, W 9656,h1; ATU 1, 340; s. A. Vaiman, ActAnt. 22, 1974, 25; Frühe Schrift p. 153, no. 16.1; Woods, Christpher, OIMP 32 (2015) 074
P000007	CDLI Lexical 000002, ex. 174	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 023, W 9656,x; ATU 1, 522
P000008	CDLI Lexical Archaic Unidentified, ex. 003	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 085, W 11985,e
P000009	CDLI Lexical 000002, ex. 160	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 022, W 11985,f
P000010	CDLI Lexical 000007, ex. 006	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 026, W 11985,g
P000011	CDLI Lexical 000002, ex. 017 & 000026, ex. 054	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 004, W 11986,a
P000012	CDLI Lexical 000002, ex. 136	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 019, W 11986,c
P000013	CDLI Lexical Archaic Unidentified, ex. 004	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 085, W 11988,d
P000015	CDLI Lexical 000023, ex. 091	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 066, W 12256,i+; ATU 2, plate 46
P000019	CDLI Lexical 000002, ex. 038	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 007, W 13662,c1
P000020	CDLI Lexical Archaic Unidentified, ex. 005	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 085, W 13662,v1
P000024	CDLI Lexical Archaic Unidentified, ex. 006	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 085, W 14335,c
P000030	CDLI Lexical 000002, ex. 018	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 004, W 14497
P000031	CDLI Lexical 000002, ex. 078	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 013, W 14551,a+
P000033	CDLI Lexical 000002, ex. 151	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 021, W 14638
P000034	CDLI Lexical Archaic Unidentified, ex. 007	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 085, W 14731,x
P000035	CDLI Lexical 000013, ex. 008	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 032, W 14777,b
P000036	CDLI Lexical 000028, ex. 01	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 075, W 15085, 
P000037	CDLI Lexical Archaic Unidentified, ex. 008	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 085, W 15772,l
P000038	CDLI Lexical Archaic Unidentified, ex. 009	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 085, W 15773,c
P000039	CDLI Lexical Archaic Unidentified, ex. 010	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 085, W 15773,q
P000040	CDLI Lexical Archaic Unidentified, ex. 011	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 085, W 15773,t
P000041	CDLI Lexical Archaic Unidentified, ex. 012	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 085, W 15774,q
P000042	CDLI Lexical 000022, ex. 001	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 037, W 15774,w
P000043	CDLI Lexical Archaic Unidentified, ex. 013	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 085, W 15775,f+
P000045	CDLI Lexical 000007, ex. 007	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 026, W 15775,af
P000046	CDLI Lexical 000002, ex. 032	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 006, W 15825,a7
P000047	CDLI Lexical 000023, ex. 026	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 057, W 15825,a8
P000048	CDLI Lexical 000002, ex. 067	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 012, W 15833,a7+
P000050	CDLI Lexical 000007, ex. 011	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 027, W 15863,d
P000051	CDLI Lexical 000002, ex. 088	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 014, W 15892,a+
P000053	CDLI Lexical 000023, ex. 010	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 055, W 15892,c
P000054	CDLI Lexical 000002, ex. 068	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 012, W 15895,a
P000055	CDLI Lexical 000002, ex. 058	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 011, W 15895,b
P000056	CDLI Lexical 000023, ex. 086	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 065, W 15895,c
P000057	CDLI Lexical 000002, ex. 117	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 017, W 15895,d+
P000058	CDLI Lexical 000023, ex. 062	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 062, W 15895,e+
P000060	CDLI Lexical 000026, ex. 035	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 073, W 15895,g
P000061	CDLI Lexical 000002, ex. 092	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 014, W 15895,h
